_id,Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
ObjectId("5e8d4f39a3c4ba8dd2313d9d"),1961-62,NBA,St. Louis Hawks,29,51,0.363,4th of 5,-2.96,124.6,3.3,95.2,1.6,97.8,4.2,,P. Seymour (5-9) A. Levane (20-40) B. Pettit (4-2),B. Pettit (11.5),1
ObjectId("5e8d4f39a3c4ba8dd2313d9e"),1960-61,NBA,St. Louis Hawks*,51,28,0.646,1st of 4,2.99,129.1,5.6,91.4,-0.7,88.7,-3.4,Lost Finals,P. Seymour (51-28),B. Pettit (14.9),1
ObjectId("5e8d4f39a3c4ba8dd2313d9f"),1958-59,NBA,St. Louis Hawks*,49,23,0.681,1st of 4,2.89,115.6,3.6,93.3,3.1,90.1,-0.1,Lost W. Div. Finals,A. Phillip (6-4) E. Macauley (43-19),B. Pettit (14.8),1
ObjectId("5e8d4f39a3c4ba8dd2313da0"),1959-60,NBA,St. Louis Hawks*,46,29,0.613,1st of 4,1.77,120,-2.3,94,2.9,91.8,0.7,Lost Finals,E. Macauley (46-29),C. Hagan (11.8),1
ObjectId("5e8d4f39a3c4ba8dd2313da1"),1957-58,NBA,St. Louis Hawks*,41,31,0.569,1st of 4,0.82,119.5,2.5,89.7,0.9,88.6,-0.2,Won Finals,A. Hannum (41-31),B. Pettit (11.0),1
ObjectId("5e8d4f39a3c4ba8dd2313da2"),1955-56,NBA,St. Louis Hawks*,33,39,0.458,3rd of 4,-1.42,109.4,6.6,87.6,-2.7,88.9,-1.4,Lost W. Div. Finals,R. Holzman (33-39),B. Pettit (13.8),1
ObjectId("5e8d4f39a3c4ba8dd2313da3"),1956-57,NBA,St. Louis Hawks*,34,38,0.472,1st of 4,-0.27,108.3,3.4,89,0.1,89.1,0.2,Lost Finals,R. Holzman (14-19) S. Martin (5-3) A. Hannum (15-16),B. Pettit (11.6),1
ObjectId("5e8d4f39a3c4ba8dd2313da4"),1954-55,NBA,Milwaukee Hawks,26,46,0.361,4th of 4,-2.66,100.5,2.4,86.4,-3.4,89.4,-0.4,,R. Holzman (26-46),B. Pettit (10.7),1
ObjectId("5e8d4f39a3c4ba8dd2313da5"),1953-54,NBA,Milwaukee Hawks,21,51,0.292,4th of 4,-4.55,84.2,0.6,82.9,-4.6,89.2,1.7,,A. Levane (11-35) R. Holzman (10-16),G. Ratkovicz (5.2),1
ObjectId("5e8d4f39a3c4ba8dd2313da6"),1952-53,NBA,Milwaukee Hawks,27,44,0.38,5th of 5,-2.49,88.6,8.1,84,-4,85.7,-2,,A. Levane (27-44),M. Hutchins (6.9),1
ObjectId("5e8d4f39a3c4ba8dd2313da7"),1950-51,NBA,Tri-Cities Blackhawks,25,43,0.368,5th of 5,-3.22,103.9,18.4,80.8,-4.3,84.4,-0.7,,D. McMillan (9-14) J. Logan (2-1) M. Todorovich (14-28),F. Brian (5.6),1
ObjectId("5e8d4f39a3c4ba8dd2313da8"),1951-52,NBA,Milwaukee Hawks,17,49,0.258,5th of 5,-7.04,90.7,4.9,80.4,-6.5,89.1,2.2,,D. Moore (17-49),D. Otten (5.6),1
ObjectId("5e8d4f39a3c4ba8dd2313da9"),1949-50,NBA,Tri-Cities Blackhawks*,29,35,0.453,3rd of 6,-1.43,,,,,,,Lost W. Div. Semis,R. Potter (1-6) R. Auerbach (28-29),D. Otten (5.2),1
ObjectId("5e8d4f4b9be312a2b401cc0d"),2019-20,NBA,Boston Celtics*,43,21,0.672,2nd of 5,5.69,99.3,-0.9,112.9,2.5,106.8,-3.6,,B. Stevens (43-21),J. Tatum (6.2),2
ObjectId("5e8d4f4b9be312a2b401cc0e"),2016-17,NBA,Boston Celtics*,53,29,0.646,1st of 5,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,Lost E. Conf. Finals,B. Stevens (53-29),I. Thomas (12.5),2
ObjectId("5e8d4f4b9be312a2b401cc0f"),2010-11,NBA,Boston Celtics*,56,26,0.683,1st of 5,4.83,90.4,-1.7,106.2,-1.1,100.3,-7,Lost E. Conf. Semis,D. Rivers (56-26),P. Pierce (11.6),2
ObjectId("5e8d4f4b9be312a2b401cc10"),2009-10,NBA,Boston Celtics*,50,32,0.61,1st of 5,3.37,91.6,-1.1,107.7,0.1,103.8,-3.8,Lost Finals,D. Rivers (50-32),R. Rondo (9.6),2
ObjectId("5e8d4f4b9be312a2b401cc11"),2018-19,NBA,Boston Celtics*,49,33,0.598,3rd of 5,3.9,99.6,-0.4,112.2,1.8,107.8,-2.6,Lost E. Conf. Semis,B. Stevens (49-33),K. Irving (9.1),2
ObjectId("5e8d4f4b9be312a2b401cc12"),2008-09,NBA,Boston Celtics*,62,20,0.756,1st of 5,7.44,90.4,-1.3,110.5,2.2,102.3,-6,Lost E. Conf. Semis,D. Rivers (62-20),R. Allen (11.1),2
ObjectId("5e8d4f4b9be312a2b401cc13"),2006-07,NBA,Boston Celtics,24,58,0.293,5th of 5,-3.7,92,0.1,103.2,-3.3,106.9,0.4,,D. Rivers (24-58),A. Jefferson (6.6),2
ObjectId("5e8d4f4b9be312a2b401cc14"),2007-08,NBA,Boston Celtics*,66,16,0.805,1st of 5,9.3,90.9,-1.5,110.2,2.7,98.9,-8.6,Won Finals,D. Rivers (66-16),K. Garnett (12.9),2
